,fail_mean,all_mean,lessfails_mean,fail_count,all_count,lessfails_count,fail_std,all_std,lessfails_std,fail_median,all_median,lessfails_median
L0_S0_F0,0.06077985092997551,0.06329993903636932,0.06331203132867813,3608.0,673862.0,670254.0,0.048292793333530426,0.049333617091178894,0.04933823272585869,0.04899999871850014,0.054999999701976776,0.054999999701976776
L0_S0_F2,0.0709073543548584,0.0733809694647789,0.07339466363191605,3608.0,673862.0,670254.0,0.056004151701927185,0.056754112243652344,0.056757617741823196,0.0560000017285347,0.06300000101327896,0.06300000101327896
L0_S0_F4,0.165213942527771,0.17215384542942047,0.17218941450119019,3608.0,673862.0,670254.0,0.11481216549873352,0.1230972483754158,0.12313459068536758,0.17900000512599945,0.17900000512599945,0.17900000512599945
L0_S0_F6,0.16544146835803986,0.17223218083381653,0.17226804792881012,3608.0,673862.0,670254.0,0.11504676938056946,0.12290151417255402,0.12293460220098495,0.17900000512599945,0.17900000512599945,0.17900000512599945
L0_S0_F8,0.07321140915155411,0.07211324572563171,0.07210841774940491,3608.0,673862.0,670254.0,0.06195925176143646,0.06114543601870537,0.06114346534013748,0.0560000017285347,0.0560000017285347,0.0560000017285347
L0_S0_F10,0.13076336681842804,0.13208404183387756,0.13208793103694916,3608.0,673862.0,670254.0,0.09853290021419525,0.09822910279035568,0.09822612255811691,0.11599999666213989,0.11599999666213989,0.11599999666213989
L0_S0_F12,0.014840909279882908,0.015710212290287018,0.015715116634964943,3608.0,673862.0,670254.0,0.010913003236055374,0.011437439359724522,0.011435572989284992,0.014999999664723873,0.014999999664723873,0.014999999664723873
L0_S0_F14,0.07964769750833511,0.08493746072053909,0.08496813476085663,3608.0,673862.0,670254.0,0.05776147544384003,0.06002840772271156,0.06007835641503334,0.07199999690055847,0.07199999690055847,0.07199999690055847
L0_S0_F16,0.09209279716014862,0.09175112098455429,0.09174954891204834,3608.0,673862.0,670254.0,0.06732001900672913,0.06903058290481567,0.06903425604104996,0.08100000023841858,0.07699999958276749,0.07699999958276749
L0_S0_F18,0.09019090980291367,0.09111596643924713,0.09112095087766647,3608.0,673862.0,670254.0,0.06488736718893051,0.06601258367300034,0.06601568311452866,0.07800000160932541,0.07800000160932541,0.07800000160932541
L0_S0_F20,0.17719335854053497,0.17446668446063995,0.17445218563079834,3608.0,673862.0,670254.0,0.10582832247018814,0.10341371595859528,0.1034003347158432,0.17399999499320984,0.17100000381469727,0.17100000381469727
L0_S0_F22,0.17717726528644562,0.17445237934589386,0.17443785071372986,3608.0,673862.0,670254.0,0.10582157224416733,0.10340425372123718,0.10338716953992844,0.17399999499320984,0.17100000381469727,0.17100000381469727
L0_S1_F24,0.08138148486614227,0.08390653878450394,0.08391965925693512,3606.0,673902.0,670296.0,0.05582767352461815,0.05981706827878952,0.05984213203191757,0.07199999690055847,0.07199999690055847,0.07199999690055847
L0_S1_F28,0.08231642842292786,0.08468524366617203,0.08469817042350769,3606.0,673904.0,670298.0,0.06293819844722748,0.06571599841117859,0.06573010981082916,0.06800000369548798,0.07000000029802322,0.07100000232458115
L0_S2_F32,0.03804055228829384,0.03496449068188667,0.03494919463992119,1817.0,339774.0,337957.0,0.04535830020904541,0.04246111959218979,0.042452361434698105,0.013000000268220901,0.013000000268220901,0.013000000268220901
L0_S2_F36,0.13393181562423706,0.14365838468074799,0.14371085166931152,1817.0,339774.0,337957.0,0.1269422322511673,0.13236795365810394,0.13239040970802307,0.10899999737739563,0.11599999666213989,0.11599999666213989
L0_S2_F40,0.05710818991065025,0.05100667476654053,0.050975292921066284,1817.0,339774.0,337957.0,0.055664874613285065,0.050933729857206345,0.05092324689030647,0.09200000017881393,0.00800000037997961,0.00800000037997961
L0_S2_F44,0.2267521619796753,0.2251315861940384,0.22512225806713104,1817.0,339774.0,337957.0,0.14796915650367737,0.14189325273036957,0.14186091721057892,0.20499999821186066,0.21199999749660492,0.21199999749660492
L0_S2_F48,0.003974112216383219,0.003922233358025551,0.003921969328075647,1817.0,339774.0,337957.0,0.005577936302870512,0.010634103789925575,0.01065489836037159,0.003000000026077032,0.003000000026077032,0.003000000026077032
L0_S2_F52,0.0,8.535085362382233e-05,8.580973371863365e-05,1817.0,339774.0,337957.0,0.0,0.009237779304385185,0.009262576699256897,0.0,0.0,0.0
L0_S2_F56,0.03935582563281059,0.03949543833732605,0.03949696570634842,1817.0,339774.0,337957.0,0.04955412447452545,0.04638073965907097,0.04636364430189133,0.009999999776482582,0.009999999776482582,0.009999999776482582
